Buchungsdatum,Werk,Material,Menge,Mengeneinheit,Bewegungsart,Kostenstelle,Nettopreis,Waehrung,Kurztext
05.01.2024,PLANT_IN01,DIESEL_001,1250,L,201,CC1001,92.50,INR,Diesel fuel for generators
12.01.2024,PLANT_IN02,PETROL_001,640,L,201,CC2002,105.75,INR,Petrol for fleet vehicles
18.01.2024,PLANT_IN03,FURNACE_OIL_001,3.5,M3,261,CC3003,68500,INR,Furnace oil for boilers
22.01.2024,PLANT_IN01,LPG_001,420,KG,201,CC1002,78.20,INR,LPG for canteen
29.01.2024,PLANT_IN02,DIESEL_001,900,LT,201,CC2001,91.80,INR,Diesel for backup generators
04.02.2024,PLANT_IN03,PETROL_001,510,L,261,CC3001,106.40,INR,Petrol for logistics
11.02.2024,PLANT_IN01,FURNACE_OIL_001,2800,KG,201,CC1003,62.10,INR,Furnace oil consumption
15.02.2024,PLANT_IN02,LPG_001,240,KG,201,CC2003,79.60,INR,LPG cylinders
19.02.2024,PLANT_IN03,DIESEL_001,1.8,M3,261,CC3002,90000,INR,Diesel bulk delivery
25.02.2024,PLANT_IN01,PETROL_001,300,L,201,CC1004,104.20,INR,Petrol for cars
02.03.2024,PLANT_IN02,FURNACE_OIL_001,2.2,M3,201,CC2004,69000,INR,Furnace oil tanker
08.03.2024,PLANT_IN03,LPG_001,180,KG,261,CC3004,80.00,INR,LPG usage
14.03.2024,PLANT_IN01,DIESEL_001,750,L,201,CC1005,93.10,INR,Diesel for generators
20.03.2024,PLANT_IN02,PETROL_001,450,L,201,CC2005,107.30,INR,Petrol for fleet
25.03.2024,PLANT_IN03,FURNACE_OIL_001,2600,KG,261,CC3005,61.50,INR,Furnace oil
31.03.2024,PLANT_IN01,LPG_001,210,KG,201,CC1006,79.10,INR,LPG kitchen
31.02.2024,PLANT_IN02,DIESEL_001,500,L,201,CC2006,92.90,INR,Invalid date test
05.04.2024,PLANT_IN03,,380,L,201,CC3006,105.00,INR,Missing material test
10.04.2024,PLANT_IN01,PETROL_001,,L,201,CC1007,108.00,INR,Missing quantity test
15.04.2024,PLANT_IN02,DIESEL_001,680,G,261,CC2007,0.09,INR,Diesel sample in grams
