BillDate,MeterID,AccountNumber,BillingPeriodStart,BillingPeriodEnd,Consumption,Unit,TariffCategory,AmountINR,PlantCode
19/01/2024,MTR-IN01-001,ACC-1001,18/12/2023,17/01/2024,12500,kWh,HT_INDUSTRIAL,108500,PLANT_IN01
22/01/2024,MTR-IN02-001,ACC-2001,21/12/2023,20/01/2024,9800,kVAh,HT_INDUSTRIAL,87200,PLANT_IN02
25/01/2024,MTR-IN03-001,ACC-3001,23/12/2023,22/01/2024,11050,kWh,HT_INDUSTRIAL,96500,PLANT_IN03
18/02/2024,MTR-IN01-002,ACC-1002,18/01/2024,17/02/2024,8400,kWh,LT_COMMERCIAL,65400,PLANT_IN01
20/02/2024,MTR-IN02-002,ACC-2002,19/01/2024,18/02/2024,7600,kVAh,LT_COMMERCIAL,58800,PLANT_IN02
21/02/2024,MTR-IN03-002,ACC-3002,20/01/2024,19/02/2024,0,kWh,HT_INDUSTRIAL,0,PLANT_IN03
19-03-2024,MTR-IN01-003,ACC-1003,18-02-2024,17-03-2024,9200,kWh,HT_INDUSTRIAL,78500,PLANT_IN01
20-03-2024,MTR-IN02-003,ACC-2003,19-02-2024,18-03-2024,8800,kVAh,HT_INDUSTRIAL,74200,PLANT_IN02
21-03-2024,MTR-IN03-003,ACC-3003,20-02-2024,19-03-2024,,kWh,LT_COMMERCIAL,0,PLANT_IN03
18/04/2024,MTR-IN01-004,ACC-1004,18/03/2024,17/04/2024,10150,kWh,HT_INDUSTRIAL,89200,PLANT_IN01
19/04/2024,MTR-IN02-004,ACC-2004,19/03/2024,18/04/2024,9300,kVAh,HT_INDUSTRIAL,81500,PLANT_IN02
20/04/2024,MTR-IN03-004,ACC-3004,20/03/2024,19/04/2024,8700,kWh,LT_COMMERCIAL,70800,PLANT_IN03
18/05/2024,MTR-IN01-005,ACC-1005,18/04/2024,17/05/2024,9950,kWh,HT_INDUSTRIAL,87900,PLANT_IN01
19/05/2024,MTR-IN02-005,ACC-2005,19/04/2024,18/05/2024,,kVAh,LT_COMMERCIAL,0,PLANT_IN02
20/05/2024,MTR-IN03-005,ACC-3005,20/04/2024,19/05/2024,9100,kWh,HT_INDUSTRIAL,79600,PLANT_IN03
